Zip Code,Location,City,Population,% Unemployment Rate,National Rank
14065,"42.488879, -78.315214","Freedom, New York","2,003",14.62%,"#1,777"
10918,"41.344192, -74.262177","Chester, New York","11,492",14.58%,"#1,790"
12749,"41.689959, -74.826713","Kauneonga Lake, New York",251,14.52%,"#1,807"
13665,"44.048460, -75.434366","Natural Bridge, New York",827,14.50%,"#1,814"
13664,"44.584961, -75.648193","Morristown, New York",340,14.48%,"#1,817"
14211,"42.907697, -78.821679","Buffalo, New York","29,590",14.41%,"#1,834"
13635,"44.286726, -75.280789","Edwards, New York","1,081",14.41%,"#1,835"
11216,"40.680854, -73.949144","Brooklyn, New York","55,775",14.39%,"#1,842"
13656,"44.192235, -75.955486","La Fargeville, New York","2,655",14.34%,"#1,864"
10033,"40.849124, -73.935956","New York, New York","58,259",14.30%,"#1,871"
10018,"40.754969, -73.992126","New York, New York","4,255",14.26%,"#1,895"
13646,"44.446084, -75.674193","Hammond, New York","2,239",14.21%,"#1,910"
12764,"41.591553, -74.995556","Narrowsburg, New York","1,717",14.08%,"#1,948"
12960,"44.015756, -73.572348","Moriah, New York","1,019",14.02%,"#1,968"
14623,"43.087333, -77.641867","Rochester, New York","27,387",13.97%,"#1,989"
13690,"44.192709, -74.948741","Star Lake, New York","1,139",13.95%,"#1,995"
12723,"41.775783, -75.018807","Callicoon, New York","2,251",13.94%,"#1,999"
13454,"43.219835, -74.757700","Salisbury Center, New York",712,13.82%,"#2,030"
11226,"40.646430, -73.956866","Brooklyn, New York","106,154",13.82%,"#2,031"
10040,"40.858134, -73.929031","New York, New York","46,599",13.73%,"#2,068"
13617,"44.580531, -75.142767","Canton, New York","10,942",13.71%,"#2,074"
12812,"43.875794, -74.389767","Blue Mountain Lake, New York",126,13.63%,"#2,105"
13126,"43.438798, -76.457454","Oswego, New York","36,454",13.62%,"#2,108"
13807,"42.629776, -75.028841","Milford, New York","1,319",13.57%,"#2,126"
14213,"42.918183, -78.892479","Buffalo, New York","26,080",13.49%,"#2,159"
10473,"40.817685, -73.858576","Bronx, New York","56,166",13.48%,"#2,166"
11691,"40.600774, -73.757824","Far Rockaway, New York","56,184",13.38%,"#2,208"
13640,"44.326315, -75.991361","Wellesley Island, New York",326,13.37%,"#2,211"
13684,"44.356596, -75.013141","Russell, New York",982,13.20%,"#2,264"
14222,"42.919236, -78.877343","Buffalo, New York","14,365",13.17%,"#2,273"
14819,"42.224194, -77.441939","Cameron, New York",755,13.12%,"#2,290"
13652,"44.435240, -75.223166","Hermon, New York","1,931",13.10%,"#2,297"
12783,"41.738633, -74.833724","Swan Lake, New York","2,169",13.09%,"#2,299"
12956,"44.097612, -73.481333","Mineville, New York","2,036",13.04%,"#2,312"
11224,"40.577257, -73.989762","Brooklyn, New York","51,205",13.00%,"#2,327"
11225,"40.662236, -73.958951","Brooklyn, New York","63,774",12.88%,"#2,375"
13124,"42.661074, -75.823604","North Pitcher, New York",135,12.84%,"#2,391"
13813,"42.156382, -75.529955","Nineveh, New York",916,12.81%,"#2,404"
12720,"41.663925, -74.918974","Bethel, New York",168,12.79%,"#2,409"
14611,"43.147187, -77.646472","Rochester, New York","19,774",12.68%,"#2,461"
12957,"44.842599, -74.575140","Moira, New York","1,798",12.68%,"#2,463"
14303,"43.084094, -79.031636","Niagara Falls, New York","7,128",12.63%,"#2,479"
